book_id,genres
422,"['fantasy', 'young-adult', 'fiction', 'classics']"
25,"['fantasy', 'young-adult', 'fiction', 'classics']"
1308,"['fantasy', 'romance', 'young-adult', 'fiction', 'paranormal']"
862,"['fantasy', 'fiction']"
562,"['fantasy', 'fiction']"
27,"['fantasy', 'young-adult', 'fiction', 'classics']"
18,"['fantasy', 'young-adult', 'fiction', 'classics']"
24,"['fantasy', 'young-adult', 'fiction', 'classics']"
307,"['fantasy', 'fiction']"
1010,"['comics', 'graphic-novels', 'fiction', 'classics']"
192,"['fantasy', 'fiction']"
460,"['fantasy', 'young-adult', 'romance', 'paranormal', 'historical-fiction', 'fiction']"
135,"['fantasy', 'fiction']"
780,"['comics', 'graphic-novels', 'fiction', 'classics']"
267,"['historical-fiction', 'fiction', 'romance']"
1264,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
161,"['fantasy', 'fiction', 'classics', 'young-adult', 'books', 'science-fiction']"
175,"['fantasy', 'young-adult', 'fiction']"
684,"['fantasy', 'young-adult', 'fiction', 'romance']"
964,"['fantasy', 'fiction', 'classics', 'young-adult']"
21,"['fantasy', 'young-adult', 'fiction', 'classics']"
3628,"['comics', 'graphic-novels', 'fiction', 'classics']"
3275,"['fantasy', 'young-adult', 'fiction', 'classics']"
1022,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
31,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']"
189,"['fantasy', 'classics', 'fiction', 'young-adult']"
39,"['fantasy', 'fiction']"
2,"['fantasy', 'fiction', 'young-adult', 'classics']"
428,"['fantasy', 'young-adult', 'fiction', 'romance']"
2101,"['fantasy', 'young-adult', 'fiction', 'classics']"
351,"['fantasy', 'young-adult', 'romance', 'paranormal', 'historical-fiction', 'fiction']"
752,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
717,"['nonfiction', 'romance']"
607,"['fantasy', 'young-adult', 'romance', 'paranormal', 'fiction']"
1788,"['comics', 'graphic-novels', 'fiction']"
2167,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
1618,"['historical-fiction', 'christian', 'fiction', 'romance', 'religion']"
504,"['christian', 'fiction', 'romance', 'historical-fiction']"
466,"['fantasy', 'graphic-novels', 'fiction', 'classics', 'comics', 'young-adult']"
507,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
769,"['classics', 'mystery', 'fiction', 'crime', 'historical-fiction', 'thriller']"
294,"['fantasy', 'young-adult', 'fiction']"
1380,"['graphic-novels', 'comics', 'nonfiction', 'history', 'biography', 'memoir']"
3241,"['fantasy', 'young-adult', 'fiction', 'romance']"
774,"['young-adult', 'fantasy', 'science-fiction', 'romance', 'fiction']"
155,"['fantasy', 'fiction', 'classics']"
2244,"['comics', 'science-fiction', 'fiction', 'romance', 'graphic-novels']"
1754,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
1602,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1353,"['fantasy', 'young-adult', 'science-fiction', 'romance', 'fiction']"
603,"['fantasy', 'fiction']"
893,"['manga', 'fantasy', 'graphic-novels', 'comics', 'fiction', 'science-fiction', 'young-adult']"
1496,"['fantasy', 'fiction']"
250,"['young-adult', 'fiction', 'contemporary']"
757,"['fiction', 'historical-fiction', 'classics']"
389,"['fantasy', 'fiction', 'young-adult']"
3215,"['paranormal', 'romance', 'fantasy', 'fiction']"
110,"['fantasy', 'fiction']"
2236,"['religion', 'christian', 'nonfiction', 'classics', 'spirituality', 'history', 'philosophy']"
841,"['romance', 'paranormal', 'fantasy', 'fiction']"
144,"['nonfiction', 'history', 'biography', 'memoir']"
543,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
7373,"['fantasy', 'romance', 'young-adult', 'fiction', 'paranormal']"
464,"['religion', 'classics', 'nonfiction', 'christian', 'history', 'philosophy', 'spirituality']"
159,"['fantasy', 'young-adult', 'fiction']"
2767,"['graphic-novels', 'comics', 'fantasy', 'science-fiction', 'fiction', 'romance']"
141,"['science-fiction', 'fiction', 'thriller']"
1374,"['fantasy', 'fiction']"
488,"['horror', 'fiction', 'fantasy', 'thriller', 'mystery', 'paranormal', 'crime', 'historical-fiction']"
513,"['nonfiction', 'biography', 'history', 'christian', 'classics', 'memoir']"
85,"['classics', 'fiction', 'poetry', 'young-adult', 'fantasy']"
3753,"['fantasy', 'fiction', 'young-adult', 'classics']"
23,"['fantasy', 'young-adult', 'fiction', 'classics']"
2194,"['fantasy', 'young-adult', 'romance', 'paranormal', 'fiction']"
998,"['fiction', 'classics', 'fantasy']"
1668,"['fantasy', 'young-adult', 'fiction', 'romance']"
1654,"['fantasy', 'fiction', 'mystery', 'paranormal']"
4483,"['comics', 'graphic-novels', 'fiction']"
585,"['manga', 'graphic-novels', 'comics', 'fantasy', 'horror', 'fiction', 'mystery', 'young-adult', 'thriller']"
9569,"['young-adult', 'fiction', 'contemporary']"
47,"['historical-fiction', 'fiction', 'young-adult', 'classics']"
1342,"['fantasy', 'fiction', 'science-fiction']"
2353,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
734,"['historical-fiction', 'fiction', 'classics']"
976,"['fiction', 'poetry', 'classics', 'fantasy', 'books', 'music']"
2081,"['fantasy', 'fiction', 'paranormal', 'mystery']"
1901,"['fantasy', 'paranormal', 'romance', 'fiction']"
2940,"['historical-fiction', 'christian', 'fiction', 'romance']"
1651,"['young-adult', 'fantasy', 'romance', 'science-fiction', 'paranormal', 'fiction']"
394,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
1,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
2149,"['fantasy', 'fiction', 'science-fiction']"
1568,"['romance', 'contemporary', 'fiction', 'chick-lit', 'young-adult']"
1320,"['classics', 'mystery', 'fiction', 'crime', 'thriller']"
19,"['fantasy', 'classics', 'fiction', 'young-adult', 'books', 'science-fiction']"
1027,"['fantasy', 'young-adult', 'fiction', 'romance']"
3395,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
3095,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
1026,"['historical-fiction', 'romance', 'fiction', 'fantasy']"
418,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
337,"['science-fiction', 'fiction', 'fantasy', 'classics']"
958,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'romance']"
3054,"['fantasy', 'fiction', 'young-adult', 'music', 'paranormal']"
988,"['fantasy', 'fiction']"
67,"['fiction', 'historical-fiction', 'contemporary']"
191,"['graphic-novels', 'comics', 'fiction', 'science-fiction', 'fantasy', 'classics']"
1808,"['science-fiction', 'fantasy', 'fiction', 'young-adult']"
3220,"['fantasy', 'young-adult', 'fiction']"
274,"['fiction', 'classics', 'crime', 'thriller', 'historical-fiction', 'mystery']"
554,"['historical-fiction', 'romance', 'fantasy', 'fiction']"
364,"['classics', 'fiction', 'poetry', 'fantasy']"
2629,"['fantasy', 'young-adult', 'romance', 'fiction']"
3082,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
134,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
1340,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1723,"['historical-fiction', 'romance', 'fiction', 'fantasy', 'science-fiction']"
225,"['classics', 'fiction', 'historical-fiction']"
3030,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']"
1630,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1183,"['graphic-novels', 'horror', 'manga', 'science-fiction', 'fiction', 'young-adult', 'comics']"
2093,"['graphic-novels', 'horror', 'comics', 'fiction', 'fantasy', 'thriller', 'science-fiction', 'contemporary']"
168,"['horror', 'fiction', 'fantasy', 'science-fiction', 'thriller', 'classics']"
1265,"['graphic-novels', 'comics', 'nonfiction', 'history', 'memoir', 'biography']"
1341,"['science-fiction', 'fantasy', 'fiction', 'young-adult']"
163,"['fantasy', 'young-adult', 'fiction']"
512,"['classics', 'poetry', 'horror', 'fiction', 'mystery', 'fantasy']"
